,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
testing,0.8950327300709792,0.04945862346958366,0.0069264875536552365,0.1776394146992927,0.8962235321284907,0.3839567596770002,7.134322999924336e-06
