,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
testing,0.7975704471046263,0.052839592026538464,0.011213674145600004,0.18665219903057845,0.8171306531563907,0.6079537020199999,2.211184260000887e-05
