,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
whole,0.9934767224918666,0.005070174770343628,0.00019784484128421894,0.021619954001034575,0.9935079728069729,0.2765296141789999,1.6415739999275925e-07
