DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
4465.9,8.672,0.057,0.185,5.409,0.322,35.554,0.203,0.23
4466,8.672,0.055,0.179,5.402,0.342,45.796,0.202,0.217
4466.1,8.656,0.054,0.175,5.44,0.355,71.707,0.199,0.193
4466.2,8.625,0.054,0.168,5.488,0.362,124.121,0.195,0.163
4466.3,8.641,0.055,0.164,5.496,0.354,226.67,0.19,0.13
4466.4,8.672,0.056,0.158,5.459,0.347,277.887,0.187,0.117
4466.5,8.672,0.058,0.158,5.417,0.347,287.026,0.186,0.114
4466.6,8.625,0.059,0.162,5.408,0.38,303.14,0.186,0.112
4466.7,8.672,0.061,0.162,5.416,0.42,294.529,0.187,0.114
4466.8,8.672,0.064,0.164,5.385,0.43,282.837,0.189,0.118
4466.9,8.672,0.066,0.164,5.296,0.428,335.178,0.193,0.114
4467,8.656,0.064,0.162,5.189,0.404,383.294,0.198,0.112
4467.1,8.648,0.061,0.161,5.116,0.39,330.782,0.202,0.122
4467.2,8.625,0.058,0.157,5.098,0.383,270.857,0.204,0.133
4467.3,8.641,0.057,0.156,5.12,0.38,266.914,0.202,0.133
4467.4,8.625,0.058,0.156,5.157,0.384,248.796,0.2,0.134
4467.5,8.656,0.06,0.154,5.199,0.385,249.145,0.198,0.132
4467.6,8.672,0.062,0.154,5.227,0.384,275.999,0.197,0.126
4467.7,8.672,0.062,0.153,5.231,0.387,262.324,0.195,0.127
4467.8,8.672,0.063,0.152,5.218,0.386,226.514,0.192,0.132
4467.9,8.672,0.063,0.153,5.205,0.39,197.713,0.19,0.136
4468,8.672,0.063,0.154,5.204,0.389,192.801,0.188,0.136
4468.1,8.672,0.063,0.155,5.21,0.381,198.975,0.188,0.134
4468.2,8.672,0.062,0.156,5.216,0.365,213.042,0.188,0.131
4468.3,8.672,0.062,0.157,5.221,0.344,233.2,0.191,0.129
4468.4,8.672,0.061,0.159,5.225,0.338,235.088,0.194,0.131
4468.5,8.672,0.06,0.16,5.231,0.338,282.889,0.197,0.125
4468.6,8.672,0.059,0.16,5.235,0.342,260.737,0.198,0.13
4468.7,8.672,0.058,0.159,5.232,0.353,249.759,0.198,0.132
4468.8,8.672,0.058,0.157,5.218,0.367,249.948,0.197,0.13
4468.9,8.672,0.059,0.156,5.201,0.375,242.124,0.195,0.131
4469,8.672,0.059,0.156,5.199,0.373,207.772,0.194,0.137
4469.1,8.672,0.06,0.158,5.222,0.391,198.225,0.193,0.138
4469.2,8.672,0.059,0.161,5.27,0.462,187.241,0.192,0.14
4469.3,8.672,0.057,0.163,5.327,0.501,176.104,0.193,0.144
4469.4,8.672,0.056,0.165,5.367,0.46,186.948,0.194,0.142
4469.5,8.672,0.056,0.168,5.375,0.392,174.277,0.195,0.146
4469.6,8.672,0.058,0.17,5.353,0.35,188.315,0.195,0.143
4469.7,8.672,0.061,0.171,5.325,0.341,214.671,0.195,0.136
4469.8,8.672,0.061,0.171,5.316,0.343,189.595,0.196,0.143
4469.9,8.672,0.059,0.171,5.332,0.347,192.567,0.197,0.144
4470,8.672,0.057,0.171,5.361,0.354,184.62,0.198,0.147
4470.1,8.672,0.056,0.171,5.387,0.358,210.085,0.198,0.14
4470.2,8.625,0.057,0.174,5.409,0.344,252.521,0.197,0.13
4470.3,8.648,0.058,0.171,5.421,0.33,275.145,0.197,0.126
4470.4,8.672,0.059,0.17,5.414,0.324,267.68,0.198,0.129
4470.5,8.672,0.061,0.168,5.391,0.335,223.408,0.199,0.138
4470.6,8.672,0.061,0.166,5.382,0.372,188.882,0.199,0.146
