,0,1,2,3,4,5,6,7
performance_metrics,R2,MAE,MSE,RMSE,MAPE,EV,maxE,minE
whole,0.6222987482149165,0.07665752878068542,0.01145532197872922,0.42943803964155414,0.10702953787963966,0.6222987482149165,0.5494726251047419,1.1124458561551087e-06
