,0,1,2,3,4,5,6,7
performance_metrics,R2,MAE,MSE,RMSE,MAPE,EV,maxE,minE
whole,0.1867242894541884,0.15867690026154982,0.045051765802721695,0.9228200503760312,0.21225401245376185,0.24973718026082992,0.7091721614743582,0.00023592107682318675
