,0,1,2,3,4,5,6,7
performance_metrics,R2,MAE,MSE,RMSE,MAPE,EV,maxE,minE
whole,0.328440104193067,0.1484315800375439,0.044314301619791774,0.6260290912020581,0.2105096235799964,0.4308946353627159,0.6284517443632467,2.574322277650032e-05
