,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
whole,0.9992086859182703,0.002680124092913141,2.3999808180868963e-05,0.012693118723177348,0.9992087813109902,0.10408801060645256,2.438610079008585e-07
