,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
testing,0.9254907307432014,0.03529586790831613,0.00491665189051922,0.1184641634368803,0.9255329646671746,0.4216643787463831,2.456392393102025e-07
