,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
testing,0.8588399217783331,0.040597400422429035,0.007819624639310043,0.13941131126338202,0.8679703715491189,0.4480102579523054,3.1568146849902945e-06
