iter	RMSE
0	0.1689692651
1	0.1644307769
2	0.1600885446
3	0.1557074555
4	0.1514711777
5	0.1473012012
6	0.1432699355
7	0.1392546988
8	0.1354413933
9	0.131769221
10	0.1281534334
11	0.1246502369
12	0.121342392
13	0.1180874591
14	0.1149382855
15	0.111793521
16	0.1088924708
17	0.105945022
18	0.1032131525
19	0.1005185987
20	0.09785702072
21	0.09524953799
22	0.09281206851
23	0.09037367984
24	0.08801215301
25	0.08581924041
26	0.08365179238
27	0.08142808529
28	0.0792957848
29	0.07736302653
30	0.07530789028
31	0.0733661763
32	0.07144392886
33	0.06958832844
34	0.06789286614
35	0.06623055621
36	0.06461496952
37	0.06296851926
38	0.06138710234
39	0.0598527932
40	0.058327399
41	0.05692098944
42	0.05556518952
43	0.05416958123
44	0.05289348539
45	0.05169019384
46	0.05042400764
47	0.04922364116
48	0.04807540987
49	0.04693380017
50	0.04584574758
51	0.04473965937
52	0.04378417562
53	0.04276276072
54	0.04176897309
55	0.04085116418
56	0.03995000759
57	0.03903992984
58	0.03817264838
59	0.03732020112
60	0.03650446237
61	0.03570702111
62	0.0349523797
63	0.03421078025
64	0.03351054681
65	0.03280052146
66	0.03213891402
67	0.03145904062
68	0.03082456713
69	0.03020903364
70	0.0296264064
71	0.02904908385
72	0.02850025101
73	0.02794832418
74	0.02742443478
75	0.02694706195
76	0.02645890377
77	0.02598146698
78	0.02551927617
79	0.02507225354
80	0.02463538301
81	0.02422241878
82	0.02382110992
83	0.02342825755
84	0.02305371709
85	0.02268293673
86	0.02233040277
87	0.02200192984
88	0.02166936294
89	0.02134584179
90	0.02104919698
91	0.02074335069
92	0.02045813666
93	0.02018894603
94	0.0199339658
95	0.01967782687
96	0.01942236635
97	0.01918463297
98	0.01894643284
99	0.0187232661
100	0.01850727695
101	0.01829767045
102	0.01808091256
103	0.01788932253
104	0.01768304395
105	0.01749649116
106	0.01730652427
107	0.01711355972
108	0.01695047938
109	0.01677991463
110	0.01660734241
111	0.0164445286
112	0.01629144639
113	0.01613248067
114	0.0159844017
115	0.0158365098
116	0.01570010502
117	0.01557708867
118	0.01545072242
119	0.01532889074
120	0.01520515381
121	0.01508423548
122	0.01496951594
123	0.01485641915
124	0.01474647194
125	0.01462953493
126	0.0145234149
127	0.01442734414
128	0.01433398471
129	0.01423458499
130	0.01413306609
131	0.01404218426
132	0.01395574549
133	0.0138801656
134	0.01378620536
135	0.0137026521
136	0.0136249635
137	0.0135487009
138	0.01347385536
139	0.01340329351
140	0.01332401205
141	0.01325247272
