,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
testing,0.8958576501745121,0.04428974811404608,0.006872053454018798,0.13962471006577729,0.8973207604017678,0.4086364002227783,3.3831000328110594e-06
