,0,1,2,3,4,5,6
performance_metrics,R2,MAE,MSE,MAPE,EV,maxE,minE
testing,0.8518256005170599,0.04272374388533324,0.008208186051670252,0.1448537355183211,0.8644558316020361,0.4461869304180145,8.079528808602188e-06
